IPK,Semester,SKS_Lulus,Kehadiran,Hasil_Prediksi,Tanggal_Prediksi
3.0,1,20,80,Tidak_Berisiko,2026-06-16 18:42:07
3.0,1,20,80,Tidak_Berisiko,2026-06-16 18:42:30
3.0,1,20,80,Tidak_Berisiko,2026-06-16 18:49:50
3.0,1,20,80,Tidak_Berisiko,2026-06-16 18:51:19
3.0,1,20,80,Tidak_Berisiko,2026-06-16 18:52:56
3.0,1,20,80,Tidak_Berisiko,2026-06-17 19:49:16
3.0,1,20,80,Tidak_Berisiko,2026-06-17 19:56:52
3.0,1,20,80,Tidak_Berisiko,2026-06-17 20:02:21
3.0,1,20,80,Tidak_Berisiko,2026-06-17 20:15:11
3.0,1,20,80,Tidak_Berisiko,2026-06-17 20:17:38
3.0,1,20,80,Tidak_Berisiko,2026-06-17 20:23:29
