IPK,Kehadiran,Nilai_Rata,Semester,SKS_Lulus,Status
1.82,77,61,3,73,Berisiko
2.18,61,62,6,88,Berisiko
3.21,90,53,4,130,Berisiko
1.82,75,90,5,124,Berisiko
2.32,75,95,7,110,Berisiko
3.37,78,77,7,43,Tidak_Berisiko
3.98,63,84,1,119,Berisiko
2.87,87,52,7,30,Berisiko
3.71,58,82,4,126,Berisiko
1.82,69,72,8,36,Berisiko
1.85,53,81,7,80,Berisiko
3.04,55,76,7,63,Berisiko
1.84,54,53,6,30,Berisiko
2.84,93,65,3,29,Berisiko
2.07,75,70,2,128,Berisiko
3.09,84,73,3,31,Tidak_Berisiko
2.03,80,57,2,87,Berisiko
3.67,77,92,7,80,Tidak_Berisiko
3.32,72,71,8,96,Berisiko
3.07,99,57,3,37,Berisiko
2.93,56,82,3,101,Berisiko
2.77,66,96,2,44,Berisiko
3.65,94,84,7,67,Tidak_Berisiko
2.96,58,57,8,131,Berisiko
2.04,50,53,1,84,Berisiko
2.49,69,93,4,35,Berisiko
2.5,78,73,1,137,Berisiko
2.7,94,78,1,53,Berisiko
2.04,95,71,2,140,Berisiko
2.82,86,58,3,120,Berisiko
3.62,65,58,2,39,Berisiko
2.62,55,70,5,91,Berisiko
3.69,98,77,2,21,Tidak_Berisiko
2.43,74,86,5,89,Berisiko
3.8,63,87,1,39,Berisiko
2.91,69,56,4,134,Berisiko
3.66,87,96,6,137,Tidak_Berisiko
3.44,51,97,1,52,Berisiko
1.89,79,56,7,139,Berisiko
1.8,60,94,1,101,Berisiko
3.54,74,95,2,95,Berisiko
3.89,89,50,4,141,Berisiko
3.74,73,95,3,20,Berisiko
3.8,100,67,3,106,Berisiko
2.75,90,75,4,36,Berisiko
3.15,69,53,8,40,Berisiko
2.66,75,100,1,20,Berisiko
2.71,57,53,8,69,Berisiko
3.1,76,96,2,118,Tidak_Berisiko
3.79,61,78,5,93,Berisiko
3.9,75,84,1,123,Tidak_Berisiko
3.32,75,67,3,94,Berisiko
2.27,64,71,7,42,Berisiko
1.93,58,57,8,67,Berisiko
3.88,50,68,7,39,Berisiko
2.94,92,60,8,88,Berisiko
3.19,75,99,1,143,Tidak_Berisiko
2.43,81,89,3,126,Berisiko
1.94,80,96,7,137,Berisiko
2.79,67,71,7,56,Berisiko
2.68,77,88,5,73,Berisiko
3.52,95,59,5,34,Berisiko
3.38,82,82,3,77,Tidak_Berisiko
3.02,65,74,6,55,Berisiko
3.52,61,51,8,129,Berisiko
2.29,80,93,7,88,Berisiko
3.72,91,85,5,63,Tidak_Berisiko
3.77,78,95,7,91,Tidak_Berisiko
1.97,96,97,5,117,Berisiko
2.82,81,80,1,24,Berisiko
3.02,63,100,6,74,Berisiko
2.33,99,50,5,63,Berisiko
2.76,76,69,4,138,Berisiko
2.1,61,63,3,86,Berisiko
3.83,91,80,8,47,Tidak_Berisiko
2.24,56,75,2,28,Berisiko
3.11,93,58,3,101,Berisiko
3.35,74,98,4,58,Berisiko
3.04,89,59,5,143,Berisiko
2.7,70,68,2,47,Berisiko
2.04,77,81,4,96,Berisiko
3.72,93,55,6,32,Berisiko
2.67,74,79,7,121,Berisiko
2.92,100,62,4,97,Berisiko
2.5,61,84,1,49,Berisiko
2.48,62,71,2,40,Berisiko
2.2,61,99,8,38,Berisiko
2.52,82,67,4,68,Berisiko
3.25,67,85,7,103,Berisiko
2.82,96,90,1,71,Berisiko
3.3,78,87,6,76,Tidak_Berisiko
3.03,89,52,8,113,Berisiko
2.21,98,56,6,134,Berisiko
2.25,85,78,7,105,Berisiko
1.8,64,65,7,38,Berisiko
2.02,73,99,5,50,Berisiko
3.66,88,69,6,122,Berisiko
3.71,89,51,5,132,Berisiko
2.74,75,83,6,68,Berisiko
3.24,57,50,1,120,Berisiko
3.1,53,78,3,79,Berisiko
2.19,85,78,7,78,Berisiko
3.36,87,93,5,118,Tidak_Berisiko
3.63,98,94,8,75,Tidak_Berisiko
3.59,53,79,3,43,Berisiko
2.51,66,99,2,71,Berisiko
2.72,100,56,8,60,Berisiko
2.67,59,98,3,117,Berisiko
3.2,55,93,4,136,Berisiko
2.63,95,95,3,22,Berisiko
